,Dataset,Encoding,Mask,Avg. MSE,Std. MSE,stride
94,PanamaEnergy,ORD,M,0.498943808064605,0.07730730229003524,32
95,PanamaEnergy,OHE,M,0.8667768942496398,0.07787728437296862,32
96,PanamaEnergy,STD,F,0.1789284572651227,0.0024438372701452967,1
97,PanamaEnergy,ORD,F,0.24958315715982837,0.00180162417769587,1
98,PanamaEnergy,OHE,F,0.44546426898929753,0.0038732210345517777,1
99,PanamaEnergy,STD,F,0.17670300074461698,0.002437355483698183,8
100,PanamaEnergy,ORD,F,0.26507914253452614,0.003724097440775798,8
101,PanamaEnergy,OHE,F,0.4755422122848558,0.0014022801300925078,8
102,PanamaEnergy,STD,F,0.18380327740278943,0.0033183147209579957,16
103,PanamaEnergy,ORD,F,0.25794823793006016,0.004223762983496159,16
104,PanamaEnergy,OHE,F,0.47725121584068403,0.006414417210547837,16
105,PanamaEnergy,STD,F,0.21208958442984086,0.004252898638059954,32
106,PanamaEnergy,ORD,F,0.2755307043457585,0.007225469667491648,32
107,PanamaEnergy,OHE,F,0.5416331117202211,0.012742876787118242,32
108,RossmanSales,STD,C,0.6547921340553481,0.01157986909265793,1
109,RossmanSales,ORD,C,0.3875345675287877,0.006341606471246154,1
110,RossmanSales,OHE,C,0.5755218097935749,0.013394471008576372,1
111,RossmanSales,STD,C,0.6157779211218447,0.0053467846321799154,8
112,RossmanSales,ORD,C,0.4143954392839963,0.014324239490334342,8
113,RossmanSales,OHE,C,0.4908085969213351,0.005987176698747133,8
114,RossmanSales,STD,C,0.590446360595786,0.01157794310132782,16
115,RossmanSales,ORD,C,0.4334451938176745,0.020956013497490638,16
116,RossmanSales,OHE,C,0.5231727274193512,0.012061742488311978,16
117,RossmanSales,STD,C,0.6183518217650822,0.008725059518965347,32
118,RossmanSales,ORD,C,0.4637710533228553,0.03066824565955943,32
119,RossmanSales,OHE,C,0.6211490337859903,0.01149018064213517,32
120,RossmanSales,STD,M,0.6273859611072443,0.03647839686995705,1
121,RossmanSales,ORD,M,0.4050568654315831,0.015797053650347823,1
122,RossmanSales,OHE,M,0.4712719152727793,0.01086229719359977,1
123,RossmanSales,STD,M,0.5700988230876938,0.02041477636872991,8
124,RossmanSales,ORD,M,0.40216958566983074,0.021953664326476018,8
125,RossmanSales,OHE,M,0.46784709230170557,0.01606470202832966,8
126,RossmanSales,STD,M,0.5522362873064655,0.03740107410766204,16
127,RossmanSales,ORD,M,0.4024605623110129,0.055007528903242404,16
128,RossmanSales,OHE,M,0.5572340996950188,0.024027079568452476,16
